committee_id,committee_name,committee_state,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,disbursement_type,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00433524,DUNCAN D. HUNTER FOR CONGRESS,CA,2018,Q3,201810159125393302,17,SB17.I10077,1272775,ORG,ORGANIZATION,,,TRUMP INTERNATIONAL HOTEL RESTAURANT,DC,,,TRAVEL,X,,2018-05-21 0:00:00,243.75,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-10-19 2:35:30,,SB17.I10063,SB17,0,,,,,,,,,,,,H,F3,4101620181599434579,WASHINGTON,20004,OTHER,FBC 7-3,2018,SB,4101820181599569538,http://docquery.fec.gov/cgi-bin/fecimg/?201810159125393302,Operating Expenditures,,,,,,
C00433524,DUNCAN D. HUNTER FOR CONGRESS,CA,2018,Q1,201804159108219240,17,SB17.I9723,1223514,ORG,ORGANIZATION,,,TRUMP INTERNATIONAL HOTEL RESTAURANT,DC,,,FOOD/BEVERAGES,X,,2018-01-19 0:00:00,631.9,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-04-18 1:44:33,,SB17.I9694,SB17,0,,,,,,,,,,,,H,F3,4041620181525934719,WASHINGTON,20004,OTHER,CC 03-18,2018,SB,4041720181525995187,http://docquery.fec.gov/cgi-bin/fecimg/?201804159108219240,Operating Expenditures,,,,,,
C00433524,DUNCAN D. HUNTER FOR CONGRESS,CA,2018,Q1,201804159108219234,17,SB17.I9684,1223514,ORG,ORGANIZATION,,,TRUMP INTERNATIONAL HOTEL RESTAURANT,DC,,,FOOD/BEVERAGES,X,,2017-12-26 0:00:00,327.6,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-04-18 1:45:59,,SB17.I9606,SB17,0,,,,,,,,,,,,H,F3,4041620181525934719,WASHINGTON,20004,OTHER,CC 02-18,2018,SB,4041720181525995147,http://docquery.fec.gov/cgi-bin/fecimg/?201804159108219234,Operating Expenditures,,,,,,
C00433524,DUNCAN D. HUNTER FOR CONGRESS,CA,2018,Q1,201804159108219233,17,SB17.I9668,1223514,ORG,ORGANIZATION,,,TRUMP INTERNATIONAL HOTEL RESTAURANT,DC,,,FOOD/BEVERAGES,X,,2017-12-07 0:00:00,56.3,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-04-18 2:05:42,,SB17.I9606,SB17,0,,,,,,,,,,,,H,F3,4041620181525934719,WASHINGTON,20004,OTHER,CC 02-18,2018,SB,4041720181525995145,http://docquery.fec.gov/cgi-bin/fecimg/?201804159108219233,Operating Expenditures,,,,,,
C00420935,KEVIN MCCARTHY FOR CONGRESS,CA,2017,Q1,201704149052167129,17,BA76099F5EA96402B894,1157494,ORG,ORGANIZATION,,,TRUMP INTERNATIONAL HOTEL,DC,,,LODGING,X,,2017-01-13 0:00:00,230,,,,,,,,,,,,,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2017-06-18 8:49:40,,BC79B411D65224EC3A57,SB17,0,,,,2,Travel Expenses,,,,,,,H,F3,4041420171398577280,WASHINGTON,200042501,TRAVEL,,2018,SB,4042020171400024361,http://docquery.fec.gov/cgi-bin/fecimg/?201704149052167129,Operating Expenditures,,,,,,
C00592048,OMAR NAVARRO FOR CONGRESS,CA,2018,Q3,201810159125466938,17,BF102F0AFC44F4B84A42,1273045,ORG,ORGANIZATION,,,TRUMP HOTEL,NV,,,TRAVEL,,,2018-09-24 0:00:00,50.7,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-10-19 2:35:56,,,,0,,,,,,,,,,,,H,F3,4101620181599434744,LAS VEGAS,89109,OTHER,,2018,SB,4101820181599581508,http://docquery.fec.gov/cgi-bin/fecimg/?201810159125466938,Operating Expenditures,,,,,,
C00592048,OMAR NAVARRO FOR CONGRESS,CA,2018,Q3,201810159125466940,17,B93D81612F8FA4BA3AC1,1273045,ORG,ORGANIZATION,,,TRUMP HOTEL,NV,,,TRAVEL- LODGING,,,2018-09-24 0:00:00,409.2,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-10-19 2:35:56,,,,0,,,,2,Travel Expenses,,,,,,,H,F3,4101620181599434744,LAS VEGAS,89109,TRAVEL,,2018,SB,4101820181599581522,http://docquery.fec.gov/cgi-bin/fecimg/?201810159125466940,Operating Expenditures,,,,,,
C00592048,OMAR NAVARRO FOR CONGRESS,CA,2018,Q3,201810159125466942,17,BBD04D535C48E492495C,1273045,ORG,ORGANIZATION,,,TRUMP HOTEL,NV,,,TRAVEL- LODGING,,,2018-09-24 0:00:00,406.9,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-10-19 2:35:56,,,,0,,,,2,Travel Expenses,,,,,,,H,F3,4101620181599434744,LAS VEGAS,89109,TRAVEL,,2018,SB,4101820181599581530,http://docquery.fec.gov/cgi-bin/fecimg/?201810159125466942,Operating Expenditures,,,,,,
C00592048,OMAR NAVARRO FOR CONGRESS,CA,2018,Q3,201810159125466943,17,B27FC829861414167A39,1273045,ORG,ORGANIZATION,,,TRUMP HOTEL,NV,,,TRAVEL- LODGING,,,2018-09-24 0:00:00,380.7,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-10-19 2:35:56,,,,0,,,,2,Travel Expenses,,,,,,,H,F3,4101620181599434744,LAS VEGAS,89109,TRAVEL,,2018,SB,4101820181599581536,http://docquery.fec.gov/cgi-bin/fecimg/?201810159125466943,Operating Expenditures,,,,,,
C00592048,OMAR NAVARRO FOR CONGRESS,CA,2018,Q3,201810159125466967,17,B17B29656DD96451797C,1273045,ORG,ORGANIZATION,,,TRUMP HOTEL,NV,,,TRAVEL,,,2018-07-05 0:00:00,118.25,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-10-19 2:35:56,,,,0,,,,,,,,,,,,H,F3,4101620181599434744,LAS VEGAS,89109,OTHER,,2018,SB,4101820181599581685,http://docquery.fec.gov/cgi-bin/fecimg/?201810159125466967,Operating Expenditures,,,,,,
C00592048,OMAR NAVARRO FOR CONGRESS,CA,2018,Q1,201804159108203308,17,SB17.10151,1223294,ORG,ORGANIZATION,C00592048,,TRUMP HOTEL,NV,OMAR NAVARRO FOR CONGRESS,,TRAVEL,,,2018-02-26 0:00:00,55,H,HOUSE,43,,,,,,,,CA,CALIFORNIA,P2018,,PRIMARY,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-04-20 1:34:55,,,,0,,,,,,,,,,,,H,F3,4041620181525934590,LAS VEGAS,89109,OTHER,,2018,SB,4041920181526167670,http://docquery.fec.gov/cgi-bin/fecimg/?201804159108203308,Operating Expenditures,,,,,,
C00592048,OMAR NAVARRO FOR CONGRESS,CA,2018,12P,201805249113331500,17,SB17.12284,1234347,ORG,ORGANIZATION,C00592048,,TRUMP HOTEL,NV,OMAR NAVARRO FOR CONGRESS,,TRAVEL,,,2018-05-14 0:00:00,220.02,H,HOUSE,43,,,,,,,,CA,CALIFORNIA,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-06-05 1:27:55,,,,0,,,,,,,,,,,,H,F3,4052420181566698219,LAS VEGAS,89109,OTHER,,2018,SB,4060420181570579003,http://docquery.fec.gov/cgi-bin/fecimg/?201805249113331500,Operating Expenditures,,,,,,
C00592048,OMAR NAVARRO FOR CONGRESS,CA,2017,Q3,201710159075749956,17,SB17.7409,1187369,ORG,ORGANIZATION,C00592048,,TRUMP HOTEL,NV,OMAR NAVARRO FOR CONGRESS,,HOTEL,,,2017-09-20 0:00:00,258.76,H,HOUSE,43,,,,,,,,CA,CALIFORNIA,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2017-10-17 1:52:25,,,,0,,,,,,,,,,,,H,F3,4101620171458295043,LAS VEGAS,89109,OTHER,,2018,SB,4101620171458310396,http://docquery.fec.gov/cgi-bin/fecimg/?201710159075749956,Operating Expenditures,,,,,,
C00592048,OMAR NAVARRO FOR CONGRESS,CA,2017,Q3,201710159075749956,17,SB17.7408,1187369,ORG,ORGANIZATION,C00592048,,TRUMP HOTEL,NV,OMAR NAVARRO FOR CONGRESS,,HOTEL,,,2017-09-06 0:00:00,359.55,H,HOUSE,43,,,,,,,,CA,CALIFORNIA,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2017-10-17 1:52:27,,,,0,,,,,,,,,,,,H,F3,4101620171458295043,LAS VEGAS,89109,OTHER,,2018,SB,4101620171458310394,http://docquery.fec.gov/cgi-bin/fecimg/?201710159075749956,Operating Expenditures,,,,,,
C00592048,OMAR NAVARRO FOR CONGRESS,CA,2018,12G,201810259133440845,17,B1000E41879354A2DA9D,1284163,ORG,ORGANIZATION,,,TRUMP HOTEL,NV,,,TRAVEL- LODGING,,,2018-10-01 0:00:00,25.69,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-10-31 13:13:40,,,,0,,,,2,Travel Expenses,,,,,,,H,F3,4102620181600788928,LAS VEGAS,89109,TRAVEL,,2018,SB,4103020181607752964,http://docquery.fec.gov/cgi-bin/fecimg/?201810259133440845,Operating Expenditures,,,,,,
C00592048,OMAR NAVARRO FOR CONGRESS,CA,2018,30G,201812069135007862,17,B40408DED18DD4973996,1299441,ORG,ORGANIZATION,,,TRUMP HOTEL,NV,,,TRAVEL- LODGING,,,2018-10-25 0:00:00,46.82,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-15 2:38:03,,,,0,,,,2,Travel Expenses,,,,,,,H,F3,4120720181620534666,LAS VEGAS,89109,TRAVEL,,2018,SB,4121420181622001697,http://docquery.fec.gov/cgi-bin/fecimg/?201812069135007862,Operating Expenditures,,,,,,
C00592048,OMAR NAVARRO FOR CONGRESS,CA,2018,30G,201812069135007863,17,BF4780E98EC694C5BA84,1299441,ORG,ORGANIZATION,,,TRUMP HOTEL,NV,,,TRAVEL- LODGING,,,2018-10-25 0:00:00,668.87,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-15 2:59:51,,,,0,,,,2,Travel Expenses,,,,,,,H,F3,4120720181620534666,LAS VEGAS,89109,TRAVEL,,2018,SB,4121420181622001699,http://docquery.fec.gov/cgi-bin/fecimg/?201812069135007863,Operating Expenditures,,,,,,
C00592048,OMAR NAVARRO FOR CONGRESS,CA,2018,30G,201812069135007863,17,BC0542FCBBC354DDEB16,1299441,ORG,ORGANIZATION,,,TRUMP HOTEL,NV,,,TRAVEL- LODGING,,,2018-10-25 0:00:00,784.5,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-15 2:59:51,,,,0,,,,2,Travel Expenses,,,,,,,H,F3,4120720181620534666,LAS VEGAS,89109,TRAVEL,,2018,SB,4121420181622001701,http://docquery.fec.gov/cgi-bin/fecimg/?201812069135007863,Operating Expenditures,,,,,,
C00592048,OMAR NAVARRO FOR CONGRESS,CA,2018,30G,201812069135007861,17,B19ACF3D0A1D34592A5C,1299441,ORG,ORGANIZATION,,,TRUMP HOTEL,NV,,,TRAVEL- LODGING,,,2018-10-24 0:00:00,93.49,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-15 2:59:47,,,,0,,,,2,Travel Expenses,,,,,,,H,F3,4120720181620534666,LAS VEGAS,89109,TRAVEL,,2018,SB,4121420181622001689,http://docquery.fec.gov/cgi-bin/fecimg/?201812069135007861,Operating Expenditures,,,,,,
C00592048,OMAR NAVARRO FOR CONGRESS,CA,2017,YE,201801319091316997,17,SB17.8555,1205695,ORG,ORGANIZATION,C00592048,,TRUMP NATIONAL GOLF COURSE,CA,OMAR NAVARRO FOR CONGRESS,,FEE,,,2017-10-23 0:00:00,9.45,H,HOUSE,43,,,,,,,,CA,CALIFORNIA,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-02-07 1:50:03,,,,0,,,,,,,,,,,,H,F3,4020120181503582168,RANCHO PALOS VERDES,90275,OTHER,,2018,SB,4020620181503874049,http://docquery.fec.gov/cgi-bin/fecimg/?201801319091316997,Operating Expenditures,,,,,,
C00592048,OMAR NAVARRO FOR CONGRESS,CA,2017,YE,201801319091316997,17,SB17.8569,1205695,ORG,ORGANIZATION,C00592048,,TRUMP NATIONAL GOLF COURSE,CA,OMAR NAVARRO FOR CONGRESS,,CAMPAIGN EVENT,,,2017-11-02 0:00:00,33.38,H,HOUSE,43,,,,,,,,CA,CALIFORNIA,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-02-07 1:49:57,,,,0,,,,,,,,,,,,H,F3,4020120181503582168,RANCHO PALOS VERDES,90275,OTHER,,2018,SB,4020620181503874051,http://docquery.fec.gov/cgi-bin/fecimg/?201801319091316997,Operating Expenditures,,,,,,
C00592048,OMAR NAVARRO FOR CONGRESS,CA,2017,YE,201801319091316996,17,SB17.8375,1205695,ORG,ORGANIZATION,C00592048,,TRUMP NATIONAL GOLF COURSE,CA,OMAR NAVARRO FOR CONGRESS,,MEALS,,,2017-10-23 0:00:00,90.56,H,HOUSE,43,,,,,,,,CA,CALIFORNIA,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-02-07 1:49:59,,,,0,,,,,,,,,,,,H,F3,4020120181503582168,RANCHO PALOS VERDES,90275,TRAVEL,,2018,SB,4020620181503874047,http://docquery.fec.gov/cgi-bin/fecimg/?201801319091316996,Operating Expenditures,,,,,,
C00592048,OMAR NAVARRO FOR CONGRESS,CA,2017,Q3,201710159075749957,17,SB17.7412,1187369,ORG,ORGANIZATION,C00592048,,TRUMP NATIONAL GOLF COURSE,CA,OMAR NAVARRO FOR CONGRESS,,MEALS,,,2017-08-02 0:00:00,9.46,H,HOUSE,43,,,,,,,,CA,CALIFORNIA,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2017-10-17 1:52:15,,,,0,,,,,,,,,,,,H,F3,4101620171458295043,RANCHO PALOS VERDES,90275,TRAVEL,,2018,SB,4101620171458310400,http://docquery.fec.gov/cgi-bin/fecimg/?201710159075749957,Operating Expenditures,,,,,,
C00592048,OMAR NAVARRO FOR CONGRESS,CA,2017,Q3,201710159075749957,17,SB17.7413,1187369,ORG,ORGANIZATION,C00592048,,TRUMP NATIONAL GOLF COURSE,CA,OMAR NAVARRO FOR CONGRESS,,MEALS,,,2017-08-02 0:00:00,20,H,HOUSE,43,,,,,,,,CA,CALIFORNIA,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2017-10-17 1:52:17,,,,0,,,,,,,,,,,,H,F3,4101620171458295043,RANCHO PALOS VERDES,90275,TRAVEL,,2018,SB,4101620171458310402,http://docquery.fec.gov/cgi-bin/fecimg/?201710159075749957,Operating Expenditures,,,,,,
C00592048,OMAR NAVARRO FOR CONGRESS,CA,2017,Q3,201710159075749958,17,SB17.8111,1187369,ORG,ORGANIZATION,C00592048,,TRUMP NATIONAL GOLF COURSE,CA,OMAR NAVARRO FOR CONGRESS,,EVENT VENUE RENTAL,,,2017-09-27 0:00:00,4132.93,H,HOUSE,43,,,,,,,,CA,CALIFORNIA,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2017-10-17 1:52:23,,,,0,,,,,,,,,,,,H,F3,4101620171458295043,RANCHO PALOS VERDES,90275,ADMINISTRATIVE,,2018,SB,4101620171458310404,http://docquery.fec.gov/cgi-bin/fecimg/?201710159075749958,Operating Expenditures,,,,,,
C00592048,OMAR NAVARRO FOR CONGRESS,CA,2017,Q3,201710159075749957,17,SB17.8087,1187369,ORG,ORGANIZATION,C00592048,,TRUMP NATIONAL GOLF COURSE,CA,OMAR NAVARRO FOR CONGRESS,,FUNDRAISING EVENT RENTAL,,,2017-07-24 0:00:00,3670.8,H,HOUSE,43,,,,,,,,CA,CALIFORNIA,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2017-10-17 1:52:25,,,,0,,,,,,,,,,,,H,F3,4101620171458295043,RANCHO PALOS VERDES,90275,ADMINISTRATIVE,,2018,SB,4101620171458310398,http://docquery.fec.gov/cgi-bin/fecimg/?201710159075749957,Operating Expenditures,,,,,,
C00525824,PEACE THROUGH STRENGTH PAC,CA,2018,Q3,201810089124415578,21B,SB21B.I10282,1266436,ORG,ORGANIZATION,,,TRUMP INTERNATIONAL HOTEL RESTAURANT,DC,,,FOOD/BEVERAGE,,,2018-07-27 0:00:00,157.3,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-10-10 2:33:02,,,,0,,,,,,,,,,,,Q,F3X,4100920181599007866,WASHINGTON,20004,OTHER,,2018,SB,4100920181599033402,http://docquery.fec.gov/cgi-bin/fecimg/?201810089124415578,Other Federal Operating Expenditures,,,,,,
C00669622,PROTECT THE HOUSE,CA,2018,Q3,201810249130845292,17,B06ADE258342540E3B53,1280227,ORG,ORGANIZATION,,,TRUMP INTERNATIONAL HOTEL,DC,,,FACILITY RENTAL,X,,2018-08-24 0:00:00,1515.8,,,,,,,,,,,,,O2018,NON-ELECTION,,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-11-14 2:41:43,,B476FE90A54044379AD6,SB17,0,,,,3,Solicitation and Fundraising Expenses,,,,,,,N,F3,4102420181600533303,WASHINGTON,200042501,ADMINISTRATIVE,,2018,SB,4111320181617329791,http://docquery.fec.gov/cgi-bin/fecimg/?201810249130845292,Operating Expenditures,,,,,,
C00669622,PROTECT THE HOUSE,CA,2018,Q3,201810249130845297,17,B72FA4699D3A949D5A9E,1280227,ORG,ORGANIZATION,,,TRUMP INTERNATIONAL HOTEL,DC,,,FACILITY RENTAL,X,,2018-09-25 0:00:00,154500,,,,,,,,,,,,,O2018,NON-ELECTION,,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-11-14 2:41:43,,B90FC5D8369CB4F7CB7D,SB17,0,,,,3,Solicitation and Fundraising Expenses,,,,,,,N,F3,4102420181600533303,WASHINGTON,200042501,ADMINISTRATIVE,,2018,SB,4111320181617329817,http://docquery.fec.gov/cgi-bin/fecimg/?201810249130845297,Operating Expenditures,,,,,,
